name,city,state,type,stream,fees,cutoff,rank,exam,rating,placement_rate,avg_package,top_recruiters,facilities
IIT Indore,Indore,Madhya Pradesh,Government / IIT / NIT,Science (PCM),250000,95,16,JEE,4.8,96%,Rs 21 LPA,"Google, Microsoft, Amazon, Atlassian, Goldman Sachs","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
IET DAVV,Indore,Madhya Pradesh,Government University,Science (PCM),80000,85,90,JEE,4.5,87%,Rs 8 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
SGSITS,Indore,Madhya Pradesh,Government Aided,Science (PCM),85000,88,80,JEE,4.6,88%,Rs 7 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Acropolis Institute of Technology & Research,Indore,Madhya Pradesh,Private,Science (PCM),110000,75,150,JEE,4.2,79%,Rs 6 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Shri Vaishnav Vidyapeeth Vishwavidyalaya,Indore,Madhya Pradesh,Private University,Science (PCM),120000,78,130,JEE,4.3,77%,Rs 6 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Medi-Caps University,Indore,Madhya Pradesh,Private University,Science (PCM),135000,76,140,JEE,4.3,85%,Rs 8 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
IPS Academy (IES),Indore,Madhya Pradesh,Private,Science (PCM),100000,70,160,JEE,4.1,56%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Chameli Devi Group of Institutions,Indore,Madhya Pradesh,Private,Science (PCM),90000,65,200,JEE,3.9,66%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
LNCT Indore,Indore,Madhya Pradesh,Private,Science (PCM),105000,70,180,JEE,4.0,65%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Indore Institute of Science & Technology,Indore,Madhya Pradesh,Private,Science (PCM),95000,68,190,JEE,4.1,66%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Sushila Devi Bansal College of Engineering,Indore,Madhya Pradesh,Private,Science (PCM),85000,60,250,JEE,3.8,55%,Rs 4 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Oriental University,Indore,Madhya Pradesh,Private University,Science (PCM),110000,60,220,JEE,3.9,72%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Sage University,Indore,Madhya Pradesh,Private University,Science (PCM),125000,65,200,JEE,4.0,56%,Rs 3 LPA,"Local IT Firms, TCS Ninja, Tech Mahindra, BPOs","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
Symbiosis University of Applied Sciences,Indore,Madhya Pradesh,Private University,Science (PCM),220000,75,110,JEE,4.4,79%,Rs 5 LPA,"TCS, Infosys, Cognizant, Wipro, Accenture, Capgemini","Wi-Fi Campus, Library, Cafeteria, AC Hostels, Olympic Sports Complex, Research Labs, Gym, Auditorium"
MGM Medical College,Indore,Madhya Pradesh,Government,Science (PCB),15000,98,45,NEET,4.8,93%,Rs 16 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Sri Aurobindo Institute of Medical Sciences (SAIMS),Indore,Madhya Pradesh,Private,Science (PCB),800000,90,85,NEET,4.5,80%,Rs 5 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Index Medical College,Indore,Madhya Pradesh,Private,Science (PCB),750000,85,120,NEET,4.2,78%,Rs 5 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Government Ashtang Ayurvedic College,Indore,Madhya Pradesh,Government,Science (PCB),25000,80,150,NEET,4.3,80%,Rs 7 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Government Dental College,Indore,Madhya Pradesh,Government,Science (PCB),35000,88,100,NEET,4.5,75%,Rs 8 LPA,"Apollo Hospitals, Fortis, AIIMS, Max Healthcare, Government Hospitals","Wi-Fi Campus, Library, Cafeteria, Basic Hostel, Sports Ground, NCC/NSS, Auditorium"
Choithram College of Nursing,Indore,Madhya Pradesh,Private,Science (PCB),75000,65,180,Merit,4.2,63%,Rs 3 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Bombay Hospital College of Nursing,Indore,Madhya Pradesh,Private,Science (PCB),85000,70,160,Merit,4.3,51%,Rs 4 LPA,"Private Clinics, Nursing Homes","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
Mata Gujri Girls College,Indore,Madhya Pradesh,Private,Commerce,45000,70,140,Merit,4.2,80%,Rs 5 LPA,"Deloitte, KPMG, EY, PwC, HDFC Bank, ICICI Bank","Wi-Fi Campus, Library, Cafeteria, Computer Labs, Transport Facility, Seminar Hall"
